Latitude,Longitude,tab
40.46337,-74.295602,Mcdonalds
42.344392,-72.642845,Mcdonalds
38.832212,-77.207503,Mcdonalds
33.831516,-118.075722,Mcdonalds
33.9453,-118.3443,Mcdonalds
41.992844,-87.78351,Mcdonalds
40.725681,-111.824562,Mcdonalds
41.639574,-87.718326,Mcdonalds
43.119301,-76.143479,Mcdonalds
40.233143,-74.684902,Mcdonalds
37.692186,-122.090291,Mcdonalds
38.85053,-104.757537,Mcdonalds
34.05181,-118.36861,Mcdonalds
39.909568,-75.09796,Mcdonalds
39.829752,-84.878772,Mcdonalds
39.355753,-76.764145,Mcdonalds
40.637066,-75.487991,Mcdonalds
39.823949,-86.235727,Mcdonalds
44.087491,-103.198178,Mcdonalds
42.5155,-92.4458,Mcdonalds
42.034695,-88.314202,Mcdonalds
41.13731,-73.425088,Mcdonalds
40.5656,-89.6374,Mcdonalds
38.76,-77.4617,Mcdonalds
42.684571,-73.795342,Mcdonalds
41.736832,-87.588955,Mcdonalds
39.36758,-76.716481,Mcdonalds
36.195631,-115.128927,Mcdonalds
34.142607,-118.236631,Mcdonalds
34.139306,-117.981527,Mcdonalds
26.167,-80.122,Mcdonalds
33.959894,-118.300636,Mcdonalds
42.334349,-83.272839,Mcdonalds
42.470794,-96.354661,Mcdonalds
41.887871,-87.834282,Mcdonalds
38.844507,-76.891771,Mcdonalds
41.930516,-87.643771,Mcdonalds
40.803191,-74.146005,Mcdonalds
32.626879,-117.087851,Mcdonalds
38.862205,-77.087684,Mcdonalds
44.166784,-93.970992,Mcdonalds
40.32103,-75.934443,Mcdonalds
39.920337,-75.324546,Mcdonalds
26.010068,-80.204498,Mcdonalds
40.210789,-74.794968,Mcdonalds
25.8229,-80.272,Mcdonalds
33.974714,-118.231383,Mcdonalds
39.363846,-76.520452,Mcdonalds
42.763482,-71.215768,Mcdonalds
38.723066,-90.12109,Mcdonalds
41.444994,-75.669707,Mcdonalds
39.957849,-74.979302,Mcdonalds
33.831814,-118.002522,Mcdonalds
37.708002,-122.132738,Mcdonalds
40.767588,-72.985937,Mcdonalds
38.236536,-85.717244,Mcdonalds
34.117719,-118.150447,Mcdonalds
38.996967,-76.906685,Mcdonalds
33.835064,-84.382176,Mcdonalds
32.735811,-97.113126,Mcdonalds
34.172105,-118.371981,Mcdonalds
34.149906,-118.091294,Mcdonalds
41.41608,-73.417654,Mcdonalds
32.523744,-92.112594,Mcdonalds
34.242379,-77.892775,Mcdonalds
47.48392,-122.217395,Mcdonalds
42.893808,-85.664983,Mcdonalds
34.000868,-118.403594,Mcdonalds
41.59632,-87.500031,Mcdonalds
33.946115,-117.420697,Mcdonalds
30.472755,-87.226611,Mcdonalds
36.594624,-82.213302,Mcdonalds
41.648681,-83.523684,Mcdonalds
39.026262,-76.445426,Mcdonalds
38.893941,-77.274677,Mcdonalds
37.965872,-121.274424,Mcdonalds
33.890921,-118.301344,Mcdonalds
34.039742,-118.143564,Mcdonalds
37.289987,-121.881266,Mcdonalds
33.957564,-118.038289,Mcdonalds
36.119697,-115.137664,Mcdonalds
42.959097,-87.908328,Mcdonalds
42.279434,-83.270528,Mcdonalds
42.299655,-85.568937,Mcdonalds
41.571729,-73.009103,Mcdonalds
34.106708,-117.863074,Mcdonalds
43.072155,-73.788133,Mcdonalds
39.753964,-86.24656,Mcdonalds
38.0467,-84.5524,Mcdonalds
43.091527,-70.799987,Mcdonalds
39.78777,-86.217122,Mcdonalds
39.0446,-95.676359,Mcdonalds
43.109841,-75.218671,Mcdonalds
38.849119,-76.924034,Mcdonalds
38.878084,-77.120917,Mcdonalds
42.024611,-87.865607,Mcdonalds
39.8463,-88.9322,Mcdonalds
34.29773,-118.437373,Mcdonalds
42.797996,-73.923954,Mcdonalds
33.822215,-117.889091,Mcdonalds
37.337837,-121.992961,Mcdonalds
32.380495,-86.275928,Mcdonalds
47.255591,-122.5213,Mcdonalds
26.269085,-80.098477,Mcdonalds
32.753916,-117.217922,Mcdonalds
33.90387214,-118.2229943,Mcdonalds
40.0979,-88.2446,Mcdonalds
42.55667,-70.968221,Mcdonalds
43.06674,-89.326119,Mcdonalds
47.739074,-122.345358,Mcdonalds
34.216426,-118.387613,Mcdonalds
39.338921,-76.667926,Mcdonalds
41.395017,-72.856044,Mcdonalds
34.088759,-118.309394,Mcdonalds
40.191958,-85.41915,Mcdonalds
41.148715,-73.244832,Mcdonalds
34.1062,-117.650156,Mcdonalds
32.206797,-110.92202,Mcdonalds
32.236267,-110.94651,Mcdonalds
30.456204,-91.072467,Mcdonalds
37.312909,-89.544888,Mcdonalds
40.240025,-75.281523,Mcdonalds
42.324538,-83.374726,Mcdonalds
35.788487,-78.648849,Mcdonalds
40.096123,-74.945208,Mcdonalds
33.897822,-84.302238,Mcdonalds
43.1652813,-77.69263592,Mcdonalds
41.103225,-80.703936,Mcdonalds
39.737928,-121.835297,Mcdonalds
34.055,-117.1753,Mcdonalds
39.99986,-105.255109,Mcdonalds
38.676,-90.2511,Mcdonalds
44.034211,-92.463076,Mcdonalds
33.729457,-118.013931,Mcdonalds
40.872716,-73.852204,Mcdonalds
38.985046,-77.091064,Mcdonalds
38.962317,-76.861761,Mcdonalds
34.030552,-118.335109,Mcdonalds
39.527597,-119.827397,Mcdonalds
40.729474,-73.744517,Mcdonalds
40.327515,-75.882043,Mcdonalds
38.772622,-90.491775,Mcdonalds
40.673974,-73.729422,Mcdonalds
39.963704,-74.196519,Mcdonalds
33.871941,-118.082492,Mcdonalds
26.706522,-80.088225,Mcdonalds
39.653237,-104.906627,Mcdonalds
43.906034,-69.915215,Mcdonalds
40.75733,-86.324437,Mcdonalds
35.108076,-89.886505,Mcdonalds
40.264349,-74.293354,Mcdonalds
34.148695,-118.436611,Mcdonalds
41.829158,-72.496075,Mcdonalds
31.126462,-97.728229,Mcdonalds
29.653461,-82.339048,Mcdonalds
34.118735,-118.193362,Mcdonalds
33.480443,-111.986282,Mcdonalds
39.075702,-77.001167,Mcdonalds
39.374709,-74.553186,Mcdonalds
40.597551,-73.941453,Mcdonalds
25.762601,-80.313487,Mcdonalds
27.792877,-82.728605,Mcdonalds
46.843986,-96.798759,Mcdonalds
39.784843,-84.188968,Mcdonalds
40.368337,-80.037512,Mcdonalds
34.436898,-119.83056,Mcdonalds
40.64352,-111.888757,Mcdonalds
33.548905,-101.857724,Mcdonalds
25.477293,-80.465915,Mcdonalds
34.778361,-82.376766,Mcdonalds
39.0329,-77.0736,Mcdonalds
38.320161,-122.299149,Mcdonalds
34.228003,-118.55383,Mcdonalds
34.92966358,-120.4358357,Mcdonalds
30.3573,-97.7305,Mcdonalds
35.44981,-97.403573,Mcdonalds
34.0832,-80.94,Mcdonalds
33.806069,-118.354002,Mcdonalds
33.975266,-118.330708,Mcdonalds
39.795013,-75.546957,Mcdonalds
40.201976,-76.770987,Mcdonalds
27.806,-82.637,Mcdonalds
28.472627,-81.396692,Mcdonalds
34.010813,-118.293621,Mcdonalds
33.728311,-117.885189,Mcdonalds
28.588296,-81.365191,Mcdonalds
42.345297,-83.157276,Mcdonalds
41.569572,-83.657468,Mcdonalds
34.0411,-118.309,Mcdonalds
34.027161,-118.199485,Mcdonalds
39.6645,-77.709,Mcdonalds
39.111887,-77.558416,Mcdonalds
42.70996,-73.107339,Mcdonalds
38.247625,-85.771821,Mcdonalds
47.91101,-97.045055,Mcdonalds
37.96956,-87.494117,Mcdonalds
41.506194,-87.70568,Mcdonalds
32.823511,-97.20313,Mcdonalds
27.944799,-82.519439,Mcdonalds
44.467755,-73.176194,Mcdonalds
33.523965,-112.108478,Mcdonalds
40.764208,-73.881066,Mcdonalds
42.601896,-73.712957,Mcdonalds
40.79965,-81.393767,Mcdonalds
33.916314,-118.347171,Mcdonalds
43.034236,-88.106669,Mcdonalds
41.548217,-72.094502,Mcdonalds
25.652594,-80.330048,Mcdonalds
33.850103,-84.217181,Mcdonalds
42.156768,-71.243955,Mcdonalds
40.686274,-73.793719,Mcdonalds
33.873714,-117.923889,Mcdonalds
40.768587,-73.737517,Mcdonalds
40.804016,-81.934512,Mcdonalds
39.135731,-76.585673,Mcdonalds
39.072562,-84.343566,Mcdonalds
35.192709,-101.884157,Mcdonalds
