value,address
  26,"95 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"95 MORRIS ST MORRISTOWN TOWN, NJ"
   4,"95 MT KEMBLE AV MORRISTOWN TOWN, NJ"
  11,"95 MT KEMBLE AVE MORRISTOWN TOWN, NJ"
   2,"95 SPRING ST MORRISTOWN TOWN, NJ"
   2,"95 WASHINGTON ST MORRISTOWN TOWN, NJ"
   2,"? CATTANO AVE MORRISTOWN TOWN, NJ"
   8,"ABBETT AVE and JARDINE RD MORRISTOWN TOWN, NJ"
   4,"ABBETT AVE and JARDINE ROAD MORRISTOWN TOWN, NJ"
   2,"ABBETT AVE and LEGION PL MORRISTOWN TOWN, NJ"
   2,"ABBETT AVE and LEGION PLACE MORRISTOWN TOWN, NJ"
   2,"ABBETT AVE and LEGION ST MORRISTOWN TOWN, NJ"
   1,"ABBETT AVE and LINCOLN ST MORRISTOWN TOWN, NJ"
   2,"ABBETT AVE and LINCOLN ST. MORRISTOWN TOWN, NJ"
   5,"ABBETT AVE and MARTIN LUTHER KING AVE MORRISTOWN TOWN, NJ"
   6,"ABBETT AVE and MARTIN LUTHER KING MORRISTOWN TOWN, NJ"
   2,"ABBETT AVE and MLK AVE MORRISTOWN TOWN, NJ"
   1,"ABBETT AVE and NEW ST MORRISTOWN TOWN, NJ"
   1,"ABBETT AVE and NEW ST. MORRISTOWN TOWN, NJ"
   2,"ABBETT AVE and NEW STREET MORRISTOWN TOWN, NJ"
   7,"ABBETT AVE and RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   1,"ABBETT AVE and ROUTE 510 Z MORRISTOWN TOWN, NJ"
   1,"ABBETT AVE MORRISTOWN TOWN, NJ"
   2,"ABBETT AVENUE and LEGION PLACE MORRISTOWN TOWN, NJ"
   2,"ABBOTT AVE and LINCOLN ST MORRISTOWN TOWN, NJ"
   2,"ACCESS ROAD and MADISON AVENUE MORRISTOWN TOWN, NJ"
   2,"AIRPORT RD MORRISTOWN TOWN, NJ"
   3,"AIRPORT ROAD MORRISTOWN TOWN, NJ"
   2,"ALTAMONT CT and ELM ST MORRISTOWN TOWN, NJ"
   2,"ANDERSON DR MORRISTOWN TOWN, NJ"
   2,"ANDERSON ST and KINNEY STREET MORRISTOWN TOWN, NJ"
   2,"ANDERSON ST and THOMPSON ST MORRISTOWN TOWN, NJ"
   1,"ANDERSON ST MORRISTOWN TOWN, NJ"
   2,"ANN ST and BANK ST MORRISTOWN TOWN, NJ"
   6,"ANN ST and CHESTNUT ST MORRISTOWN TOWN, NJ"
   2,"ANN ST and SCHUYLER PL MORRISTOWN TOWN, NJ"
   3,"ATNO AVE and CLINTON ST. MORRISTOWN TOWN, NJ"
   1,"ATNO AVE and EARLY ST MORRISTOWN TOWN, NJ"
   2,"ATNO AVE and EARLY STREET MORRISTOWN TOWN, NJ"
   4,"ATNO AVE and ROUTE 510 MORRISTOWN TOWN, NJ"
   2,"ATNO AVE and WASHINGTON STREET MORRISTOWN TOWN, NJ"
   7,"BANK ST and ANN ST MORRISTOWN TOWN, NJ"
   2,"BANK ST and ANN ST. MORRISTOWN TOWN, NJ"
   2,"BANK ST and ROUTE 510 MORRISTOWN TOWN, NJ"
   2,"BANK STREET and ANN ST MORRISTOWN TOWN, NJ"
   2,"BANK STREET and ANN STREET MORRISTOWN TOWN, NJ"
   2,"BEIT YISRAEL WAY and SPEEWDWELL AVE MORRISTOWN TOWN, NJ"
   2,"BELLEVUE TERR and GRANT ST MORRISTOWN TOWN, NJ"
   2,"BLACHEY PL and CR 510 MORRISTOWN TOWN, NJ"
   2,"BLACHLEY PL and ELM MORRISTOWN TOWN, NJ"
   2,"BLACHLEY PL and ELM ST. MORRISTOWN TOWN, NJ"
   2,"BLACHLEY PL and MORRIS ST MORRISTOWN TOWN, NJ"
   2,"BLACHLEY PL and MORRIS ST. MORRISTOWN TOWN, NJ"
   2,"BLACHLEY PL and ROUTE 510 MORRISTOWN TOWN, NJ"
   4,"BLACHLEY PLACE and ELM ST MORRISTOWN TOWN, NJ"
   3,"BUDD ST and MILLER ST MORRISTOWN TOWN, NJ"
   1,"BURNHAM PARK and WASHINGTON ST MORRISTOWN TOWN, NJ"
   1,"BURNHAM PARK WAY and SPRINGVIEW RD MORRISTOWN TOWN, NJ"
   1,"BURNHAM PKY and US 510 MORRISTOWN TOWN, NJ"
   8,"CATTANO AVE and PROSPECT ST MORRISTOWN TOWN, NJ"
   2,"CATTANO AVE and ROUTE 510 MORRISTOWN TOWN, NJ"
   1,"CATTANO AVE and US 202 MORRISTOWN TOWN, NJ"
   4,"CATTANO AVE and WASHINGTON ST MORRISTOWN TOWN, NJ"
   2,"CATTANO AVENUE and WASHINGTON STREET MORRISTOWN TOWN, NJ"
   3,"CATTONO AVE and US 202 MORRISTOWN TOWN, NJ"
   6,"CENTER ST and SPRING ST MORRISTOWN TOWN, NJ"
   2,"CHERRY ST and CHESTNUT STREET MORRISTOWN TOWN, NJ"
   1,"CHESTNUT and ANN ST. MORRISTOWN TOWN, NJ"
   1,"CHESTNUT ST and ANN ST. MORRISTOWN TOWN, NJ"
   2,"CHESTNUT ST and CHERRY ST MORRISTOWN TOWN, NJ"
   1,"CHESTNUT ST MORRISTOWN TOWN, NJ"
   2,"CHESTNUT STREET and ANN ST MORRISTOWN TOWN, NJ"
   2,"CHESTNUT STREET and PLUM STREET MORRISTOWN TOWN, NJ"
   2,"CLEVELAND and MONROE MORRISTOWN TOWN, NJ"
   1,"CLEVELAND ST and SUSSEX AVENUE MORRISTOWN TOWN, NJ"
   2,"CLEVELAND STREET and CR 617 MORRISTOWN TOWN, NJ"
   2,"CLEVELAND STREET and GRANT ST MORRISTOWN TOWN, NJ"
   1,"CLINTON ST and PROSPECT ST MORRISTOWN TOWN, NJ"
   2,"CLINTON STREET and PROSPECT STREET MORRISTOWN TOWN, NJ"
   2,"CLYDE POTTS DR and CLYDE POTTS CT MORRISTOWN TOWN, NJ"
   2,"CLYDE POTTS DR and CLYDE POTTS CT. MORRISTOWN TOWN, NJ"
   2,"CLYDE POTTS DR and FLAGLER ST MORRISTOWN TOWN, NJ"
   2,"CLYDE POTTS DR MORRISTOWN TOWN, NJ"
   2,"CLYDE POTTS DRIVE and FLAGLER ST MORRISTOWN TOWN, NJ"
   1,"CLYDE POTTS DRIVE and FLAGLER STREET MORRISTOWN TOWN, NJ"
   2,"COAL AVE and CENTER ST MORRISTOWN TOWN, NJ"
   4,"COAL AVE and CENTER STREET MORRISTOWN TOWN, NJ"
   2,"COBB PLACE and CR 510 MORRISTOWN TOWN, NJ"
   1,"COBB PLACE MORRISTOWN TOWN, NJ"
   1,"COBY RD and SPEEDWELL AVE. MORRISTOWN TOWN, NJ"
   1,"COLONIAL RD MORRISTOWN TOWN, NJ"
   2,"COLONIAL ROAD and EARLY STREET MORRISTOWN TOWN, NJ"
   2,"COLONIAL ROAD and RT 510 MORRISTOWN TOWN, NJ"
   2,"COLUMBIA ST and MORRIS COUNTY 617 MORRISTOWN TOWN, NJ"
   2,"COMMUNITY PL and NJ 124 MORRISTOWN TOWN, NJ"
   2,"COMMUNITY PLACE and MAPLE AVE MORRISTOWN TOWN, NJ"
